"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 13:17:44 GMT 2024","Tue Oct 22 13:17:46 GMT 2024","1243","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Tue Oct 22 13:17:42 GMT 2024","Tue Oct 22 13:17:43 GMT 2024","1369","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Tue Oct 22 13:17:40 GMT 2024","Tue Oct 22 13:17:40 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
