"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_testcase_link","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","1","test_inline_step","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1369","test_invalid_credentials","tests","Mon Mar 02 13:50:49 UTC 2026","passed","Mon Mar 02 13:50:50 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_class_method_as_step","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","2145","test_valid_credentials","tests","Mon Mar 02 13:50:45 UTC 2026","passed","Mon Mar 02 13:50:47 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_nested_steps","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Mon Mar 02 13:50:20 UTC 2026","passed","Mon Mar 02 13:50:20 UTC 2026","TestAllureOptions","allure_test","",""
