"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_issue_link","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1354","test_invalid_credentials","tests","Sat Jan 25 13:10:10 GMT 2025","passed","Sat Jan 25 13:10:11 GMT 2025","TestLogin","login_test","",""
"","0","test_attach_file","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1591","test_valid_credentials","tests","Sat Jan 25 13:10:07 GMT 2025","passed","Sat Jan 25 13:10:08 GMT 2025","TestLogin","login_test","",""
"Tbd","0","test_class_method_as_step","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_testcase_link","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","1","test_reusable_step","tests","Sat Jan 25 13:09:56 GMT 2025","passed","Sat Jan 25 13:09:56 GMT 2025","TestAllureOptions","allure_test","",""
