"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Sat Jul 13 13:08:34 GMT 2024","Sat Jul 13 13:08:35 GMT 2024","1814","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Sat Jul 13 13:08:37 GMT 2024","Sat Jul 13 13:08:38 GMT 2024","1296","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Sat Jul 13 13:08:11 GMT 2024","Sat Jul 13 13:08:11 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
