"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 13:11:59 GMT 2024","Tue Aug 06 13:12:00 GMT 2024","1189","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Tue Aug 06 13:11:56 GMT 2024","Tue Aug 06 13:11:58 GMT 2024","1650","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Tue Aug 06 13:11:38 GMT 2024","Tue Aug 06 13:11:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
