"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_attach_file","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
" Tbd ","1161","test_invalid_credentials","tests","Sat Aug 23 13:17:08 UTC 2025","passed","Sat Aug 23 13:17:09 UTC 2025","TestLogin","login_test","",""
"Tbd","0","test_class_method_as_step","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","1","test_reusable_step","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
"","1","test_issue_link","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
" Tbd ","1333","test_valid_credentials","tests","Sat Aug 23 13:17:05 UTC 2025","passed","Sat Aug 23 13:17:07 UTC 2025","TestLogin","login_test","",""
"","0","test_link","tests","Sat Aug 23 13:17:02 UTC 2025","passed","Sat Aug 23 13:17:02 UTC 2025","TestAllureOptions","allure_test","",""
