"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_testcase_link","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1175","test_invalid_credentials","tests","Tue Mar 03 13:49:57 UTC 2026","passed","Tue Mar 03 13:49:59 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_inline_step","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"","1","test_issue_link","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1421","test_valid_credentials","tests","Tue Mar 03 13:49:55 UTC 2026","passed","Tue Mar 03 13:49:56 UTC 2026","TestLogin","login_test","",""
"","0","test_attach_file","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","1","test_reusable_step","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Tue Mar 03 13:49:47 UTC 2026","passed","Tue Mar 03 13:49:47 UTC 2026","TestAllureOptions","allure_test","",""
