"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Thu Jun 06 13:09:38 GMT 2024","Thu Jun 06 13:09:39 GMT 2024","1196","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Thu Jun 06 13:09:35 GMT 2024","Thu Jun 06 13:09:37 GMT 2024","1590","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Thu Jun 06 13:09:17 GMT 2024","Thu Jun 06 13:09:17 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
