"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_attach_body","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1167","test_invalid_credentials","tests","Sat Jan 31 13:33:18 UTC 2026","passed","Sat Jan 31 13:33:19 UTC 2026","TestLogin","login_test","",""
"Tbd","1","test_class_method_as_step","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1372","test_valid_credentials","tests","Sat Jan 31 13:33:16 UTC 2026","passed","Sat Jan 31 13:33:17 UTC 2026","TestLogin","login_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sat Jan 31 13:33:07 UTC 2026","passed","Sat Jan 31 13:33:07 UTC 2026","TestAllureOptions","allure_test","",""
