"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Mon Jul 15 13:12:32 GMT 2024","Mon Jul 15 13:12:33 GMT 2024","1348","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Mon Jul 15 13:12:28 GMT 2024","Mon Jul 15 13:12:30 GMT 2024","1888","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Mon Jul 15 13:12:03 GMT 2024","Mon Jul 15 13:12:03 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
