"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tbd","0","test_class_method_as_step","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
" Tbd ","1676","test_valid_credentials","tests","Fri Nov 15 13:17:44 GMT 2024","passed","Fri Nov 15 13:17:46 GMT 2024","TestLogin","login_test","",""
" Tbd ","1229","test_invalid_credentials","tests","Fri Nov 15 13:17:47 GMT 2024","passed","Fri Nov 15 13:17:48 GMT 2024","TestLogin","login_test","",""
"","0","test_link","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Fri Nov 15 13:17:33 GMT 2024","passed","Fri Nov 15 13:17:33 GMT 2024","TestAllureOptions","allure_test","",""
