"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 19 13:12:10 GMT 2024","Mon Aug 19 13:12:12 GMT 2024","1321","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Mon Aug 19 13:12:08 GMT 2024","Mon Aug 19 13:12:08 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Mon Aug 19 13:12:13 GMT 2024","Mon Aug 19 13:12:14 GMT 2024","1297","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
