"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"broken","Sat Oct 05 13:12:58 GMT 2024","Sat Oct 05 13:12:58 GMT 2024","0","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Sat Oct 05 13:12:44 GMT 2024","Sat Oct 05 13:12:44 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
