"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_attach_body","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
" Tbd ","1552","test_valid_credentials","tests","Sat Nov 16 13:14:48 GMT 2024","passed","Sat Nov 16 13:14:50 GMT 2024","TestLogin","login_test","",""
" Tbd ","1242","test_invalid_credentials","tests","Sat Nov 16 13:14:51 GMT 2024","passed","Sat Nov 16 13:14:52 GMT 2024","TestLogin","login_test","",""
"Tbd","0","test_nested_steps","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Sat Nov 16 13:14:39 GMT 2024","passed","Sat Nov 16 13:14:39 GMT 2024","TestAllureOptions","allure_test","",""
