"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Thu Aug 22 13:12:20 GMT 2024","Thu Aug 22 13:12:21 GMT 2024","1234","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Thu Aug 22 13:12:17 GMT 2024","Thu Aug 22 13:12:19 GMT 2024","1279","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Thu Aug 22 13:12:15 GMT 2024","Thu Aug 22 13:12:15 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
