"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_custom_link","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body_with_default_kwargs","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1349","test_invalid_credentials","tests","Fri Feb 07 13:14:37 GMT 2025","passed","Fri Feb 07 13:14:39 GMT 2025","TestLogin","login_test","",""
"Tbd","0","test_inline_step","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","2050","test_valid_credentials","tests","Fri Feb 07 13:14:33 GMT 2025","passed","Fri Feb 07 13:14:35 GMT 2025","TestLogin","login_test","",""
"","0","test_attach_body","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Fri Feb 07 13:14:28 GMT 2025","passed","Fri Feb 07 13:14:28 GMT 2025","TestAllureOptions","allure_test","",""
