"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Thu Dec 14 13:08:59 GMT 2023","Thu Dec 14 13:09:00 GMT 2023","1200","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","1","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Thu Dec 14 13:09:01 GMT 2023","Thu Dec 14 13:09:02 GMT 2023","1187","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Thu Dec 14 13:08:58 GMT 2023","Thu Dec 14 13:08:58 GMT 2023","1","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
