"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Sun Mar 17 13:03:32 GMT 2024","Sun Mar 17 13:03:33 GMT 2024","1252","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Sun Mar 17 13:03:29 GMT 2024","Sun Mar 17 13:03:31 GMT 2024","1780","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Sun Mar 17 13:03:06 GMT 2024","Sun Mar 17 13:03:06 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
