"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_attach_body","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","1","test_class_method_as_step","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1473","test_valid_credentials","tests","Sat Mar 14 13:36:59 UTC 2026","passed","Sat Mar 14 13:37:01 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_nested_steps","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1171","test_invalid_credentials","tests","Sat Mar 14 13:37:02 UTC 2026","passed","Sat Mar 14 13:37:03 UTC 2026","TestLogin","login_test","",""
"","0","test_testcase_link","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sat Mar 14 13:36:49 UTC 2026","passed","Sat Mar 14 13:36:49 UTC 2026","TestAllureOptions","allure_test","",""
