"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_testcase_link","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1150","test_invalid_credentials","tests","Thu May 14 15:12:36 UTC 2026","passed","Thu May 14 15:12:37 UTC 2026","TestLogin","login_test","",""
"","0","test_attach_file","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1149","test_valid_credentials","tests","Thu May 14 15:12:33 UTC 2026","passed","Thu May 14 15:12:34 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_nested_steps","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Thu May 14 15:12:24 UTC 2026","passed","Thu May 14 15:12:24 UTC 2026","TestAllureOptions","allure_test","",""
