"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tbd","0","test_inline_step","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","1","test_class_method_as_step","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1326","test_valid_credentials","tests","Thu May 01 13:19:09 GMT 2025","passed","Thu May 01 13:19:11 GMT 2025","TestLogin","login_test","",""
" Tbd ","1274","test_invalid_credentials","tests","Thu May 01 13:19:12 GMT 2025","passed","Thu May 01 13:19:13 GMT 2025","TestLogin","login_test","",""
"","0","test_custom_link","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Thu May 01 13:19:08 GMT 2025","passed","Thu May 01 13:19:08 GMT 2025","TestAllureOptions","allure_test","",""
