"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_testcase_link","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1709","test_valid_credentials","tests","Sun Apr 06 13:15:49 GMT 2025","passed","Sun Apr 06 13:15:51 GMT 2025","TestLogin","login_test","",""
"","0","test_issue_link","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1165","test_invalid_credentials","tests","Sun Apr 06 13:15:52 GMT 2025","passed","Sun Apr 06 13:15:53 GMT 2025","TestLogin","login_test","",""
"","0","test_attach_file","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_link","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Sun Apr 06 13:15:28 GMT 2025","passed","Sun Apr 06 13:15:28 GMT 2025","TestAllureOptions","allure_test","",""
